sample_set,window,n_symbols,n_valid_sharpe,n_full_30,median_sharpe,mean_sharpe,iqr_sharpe,median_return
S_all,14-29,362,0,0,,,,0.046197283976141854
S_all,30-59,362,362,362,0.06478334516257898,0.21477953595781568,4.671192130574884,0.007398410037165896
S_all,60-89,362,362,362,0.2579904742594288,0.09607880907002775,4.4129090532621325,0.029945194752124215
S_all,90-119,362,362,361,-0.10448572523940108,-0.025969738083664234,4.688466160096912,-0.012259739204194242
S_all,120-149,361,356,353,0.010428608252492377,0.14890843444708363,5.099178380718064,0.004125480446526476
S_all,150-179,353,346,339,0.7421993342731756,0.6079410758681335,5.246447337415586,0.0577448255903882
S_nc,14-29,303,0,0,,,,0.03078791583630411
S_nc,30-59,303,303,303,0.3623807108729485,0.4794118711390514,4.798418299612718,0.024103660034749202
S_nc,60-89,303,303,303,0.10625212100050192,0.02241774810647696,4.74609539604724,0.010213982800565402
S_nc,90-119,303,303,302,-0.19359191968246015,-0.0534434114430746,4.7282267977420815,-0.019482932354212477
S_nc,120-149,302,297,294,0.08513116611866846,0.22328878190567442,5.3754501075917585,0.010496200845987892
S_nc,150-179,294,287,280,0.10407726030337554,0.13528688476938466,5.020108604619292,0.008812030160504086
S_180,14-29,339,0,0,,,,0.050257870908609004
S_180,30-59,339,339,339,0.06709898554933218,0.18695131821900846,4.543902502106862,0.007912227299524704
S_180,60-89,339,339,339,0.22611527499557454,0.11208249313825477,4.4502959677204235,0.017431815477078713
S_180,90-119,339,339,339,-0.05393086775748821,-0.003434191403604587,4.752945685861368,-0.007043577453859223
S_180,120-149,339,339,339,0.016153511898066592,0.1466469927143373,5.049341439861243,0.0014989329829367113
S_180,150-179,339,339,339,0.7710939725933151,0.664378812614146,5.183690087788837,0.06209401090762898
