signal_date,total_bps,avg_bps,n,wins,worst_symbol,date,open,high,low,close,btc_ret_pct,btc_ma5,btc_dd_pct,label,cum_bps,negative
2026-06-03,-3514.8538058721374,-1757.4269029360687,2,0,"MANTA,EPIC",2026-06-03,66730.1,67493.8,64050.8,64117.7,-3.914731005544736,69949.84,-17.033572070935477,06/03,-3514.8538058721374,True
2026-06-04,1043.069349800236,521.534674900118,2,1,"OPN,SAHARA",2026-06-04,64117.7,64739.8,61344.8,63853.4,-0.4122106688168703,67949.16,-17.37556853839535,06/04,-2471.7844560719013,False
2026-06-08,1228.877890564194,614.438945282097,2,2,"XVS,DEXE",2026-06-08,63299.0,64179.5,62377.0,63057.9,-0.3801037939287655,62416.3,-18.40492226470759,06/08,-1242.9065655077072,False
2026-06-09,827.6348338871894,413.8174169435947,2,2,"1000CHEEMS,FOGO",2026-06-09,63057.9,63499.9,60755.0,61695.0,-2.1613469525626483,61984.619999999995,-20.16847499078046,06/09,-415.2717316205178,False
2026-06-10,-3455.8360624941633,-1727.9180312470817,2,1,"XVS,ID",2026-06-10,61694.9,62840.2,60691.9,61483.7,-0.3424912877866948,62076.96,-20.441891008844294,06/10,-3871.1077941146814,True
2026-06-11,1187.1599047596292,593.5799523798146,2,2,"DEXE,CVX",2026-06-11,61483.6,63915.3,61483.6,63597.9,3.438634955280828,62626.6,-17.70617806331398,06/11,-2683.947889355052,False
2026-06-12,262.7821595093144,131.3910797546572,2,1,"1000CHEEMS,RPL",2026-06-12,63598.0,64362.6,62800.0,63547.0,-0.0800340891759066,62676.3,-17.772041174149056,06/12,-2421.1657298457376,False
2026-06-13,-6935.776302440089,-3467.8881512200446,2,1,"RIF,OPG",2026-06-13,63547.0,64738.0,63360.0,64418.2,1.3709537822399032,62948.36,-16.644733862567374,06/13,-9356.942032285828,True
2026-06-14,4560.154143781052,2280.077071890526,2,1,"OPG,HFT",2026-06-14,64418.3,65775.0,63650.0,65702.1,1.993070281380116,63749.780000000006,-14.983404825216894,06/14,-4796.787888504776,False
2026-06-15,1484.2895709008249,742.1447854504124,2,2,"BABY,BB",2026-06-15,65702.1,67255.4,65314.3,66285.9,0.8885560735501397,64710.219999999994,-14.227984705265817,06/15,-3312.498317603951,False
