variant,positions,active_days,rank2_adjusted_positions,total_bps,mean_active_day_bps,median_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps
top2_baseline_oi_dates,62,31,0,-313.7431973834755,-10.120748302692757,141.5935318360261,0.5806451612903226,-4283.151026428888,-3791.6259251668243,1310.1642968860508
rank1_only_oi_dates,62,31,31,-6893.564470662584,-222.37304744072853,-93.58177142857116,0.4838709677419355,-6668.911291471833,-4250.72808854792,752.575757575758
rank2_half_all_oi_dates,62,31,31,-3603.6538340230304,-116.24689787171066,153.61504007543687,0.5161290322580645,-4555.568666457835,-4021.1770068573724,959.3887358109189
rank2_skip_oi_up,62,31,14,-3449.198938167422,-111.26448187636845,141.5935318360261,0.5483870967741935,-5035.606556577681,-4250.72808854792,1310.1642968860508
rank2_skip_oi_surge_5pct,62,31,6,-1536.7980617857584,-49.57413102534704,141.5935318360261,0.5806451612903226,-4372.804325519206,-4250.72808854792,1310.1642968860508
rank2_skip_FRneg_OIup,62,31,8,-2098.9420721213314,-67.70780877810746,141.5935318360261,0.5806451612903226,-4415.454107452379,-4250.72808854792,1310.1642968860508
rank2_half_FRneg_OIup,62,31,8,-1206.3426347524037,-38.91427854040012,141.5935318360261,0.5806451612903226,-4349.3025669406325,-4021.1770068573724,1310.1642968860508
rank2_skip_FRneg_OIsurge5pct,62,31,3,-1265.6294578402703,-40.82675670452485,141.5935318360261,0.5806451612903226,-4372.804325519206,-4250.72808854792,1310.1642968860508
rank2_skip_FRneg_OIup_demean_q75,62,31,1,-308.58189738347573,-9.95425475430567,141.5935318360261,0.5806451612903226,-4277.9897264288875,-3791.6259251668243,1310.1642968860508
rank2_skip_FRneg_OIup_demean_0.5pct,62,31,2,-776.1792153790875,-25.038039205777018,141.5935318360261,0.5806451612903226,-4277.9897264288875,-3791.6259251668243,1310.1642968860508
